weekly_retail_sales
date,value
2010-01-03,1325.76
2010-01-10,1105.08
2010-01-17,1175.89
2010-01-24,1202.61
2010-01-31,923.94
2010-02-07,1368.25
2010-02-14,1423.27
2010-02-21,1468.28
2010-02-28,1485.39
2010-03-07,1239.64
2010-03-14,1977.58
2010-03-21,1406.27
2010-03-28,1453.74
2010-04-04,1277.58
2010-04-11,1583.92
2010-04-18,1504.77
2010-04-25,1619.36
2010-05-02,1661.98
2010-05-09,1188.54
2010-05-16,1313.28
2010-05-23,1645.46
2010-05-30,1345.31
2010-06-06,1199.43
2010-06-13,1042.26
2010-06-20,1629.52
2010-06-27,1142.02
2010-07-04,920.81
2010-07-11,1199.5
2010-07-18,887.85
2010-07-25,1179.29
2010-08-01,1238.52
2010-08-08,876.22
2010-08-15,1577.61
2010-08-22,1067.92
2010-08-29,847.51
2010-09-05,816.94
2010-09-12,1140.19
2010-09-19,818.82
2010-09-26,899.49
2010-10-03,824.4
2010-10-10,971.62
2010-10-17,1127.39
2010-10-24,1144.89
2010-10-31,1357.63
2010-11-07,973.73
2010-11-14,987.88
2010-11-21,830.22
2010-11-28,1025.0
2010-12-05,1470.3
2010-12-12,1189.44
2010-12-19,1701.24
2010-12-26,1338.41
2011-01-02,1311.36
2011-01-09,1456.01
2011-01-16,1785.94
2011-01-23,1514.45
2011-01-30,1185.67
2011-02-06,1474.69
2011-02-13,1569.41
2011-02-20,2000.09
2011-02-27,1642.29
2011-03-06,1954.01
2011-03-13,1720.2
2011-03-20,1934.76
2011-03-27,1663.76
2011-04-03,1868.66
2011-04-10,2055.5
2011-04-17,1567.08
2011-04-24,1651.36
2011-05-01,1727.01
2011-05-08,2021.63
2011-05-15,1854.11
2011-05-22,1556.29
2011-05-29,1884.2
2011-06-05,2042.26
2011-06-12,1991.1
2011-06-19,1527.13
2011-06-26,1465.33
2011-07-03,1439.68
2011-07-10,1445.5
2011-07-17,1532.71
2011-07-24,1113.12
2011-07-31,1202.68
2011-08-07,1193.99
2011-08-14,1747.74
2011-08-21,1520.17
2011-08-28,1439.95
2011-09-04,1632.42
2011-09-11,792.49
2011-09-18,1298.51
2011-09-25,1325.16
2011-10-02,1270.35
2011-10-09,1481.94
2011-10-16,1595.27
2011-10-23,1577.06
2011-10-30,1337.25
2011-11-06,1627.42
2011-11-13,1497.84
2011-11-20,1374.73
2011-11-27,1701.96
2011-12-04,1259.19
2011-12-11,1755.69
2011-12-18,1881.11
2011-12-25,1531.46
2012-01-01,1907.01
2012-01-08,2073.23
2012-01-15,2038.2
2012-01-22,1953.38
2012-01-29,2251.44
2012-02-05,1923.08
2012-02-12,2523.11
2012-02-19,2187.17
2012-02-26,2415.33
2012-03-04,2035.21
2012-03-11,1923.2
2012-03-18,1973.31
2012-03-25,2299.88
2012-04-01,2111.36
2012-04-08,2367.66
2012-04-15,2466.06
2012-04-22,2110.91
2012-04-29,2341.68
2012-05-06,2215.4
2012-05-13,2305.61
2012-05-20,2386.86
2012-05-27,2410.55
2012-06-03,2229.41
2012-06-10,2111.89
2012-06-17,1982.01
2012-06-24,2211.49
2012-07-01,2102.78
2012-07-08,2434.15
2012-07-15,2198.51
2012-07-22,1965.14
2012-07-29,2302.61
2012-08-05,1860.78
2012-08-12,2192.77
2012-08-19,1807.14
2012-08-26,1663.97
2012-09-02,1881.9
2012-09-09,1812.25
2012-09-16,1901.55
2012-09-23,2056.21
2012-09-30,1822.95
2012-10-07,1788.73
2012-10-14,2044.33
2012-10-21,2399.44
2012-10-28,1856.95
2012-11-04,1288.11
2012-11-11,1673.23
2012-11-18,1813.0
2012-11-25,2068.06
2012-12-02,1832.63
2012-12-09,2142.68
2012-12-16,2302.01
2012-12-23,2454.4
2012-12-30,2352.57
2013-01-06,2279.39
2013-01-13,2238.95
2013-01-20,2297.74
2013-01-27,2260.19
2013-02-03,2111.57
